t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
60.0,41.91788868575587,10.9663336152772,37.124702759754626,7.686611039266977,37.410179252142186,13.081838177698485,38.180033160203784,12.196924203754843,44.375266364874165,11.785254686377012,47.2120007186066,8.623513320358038,50.040616642041336,10.890750338150568,25.244950002425,25.55,25.8,27.35,40.805049997575,42.755049997575,23.4,30.813156729374985
61.99999999999999,41.94371152718406,10.711322111923788,37.19087353110503,7.65375174837365,37.49692929541005,12.979241475093438,38.292620988832454,12.146686378795453,44.51562893031124,11.892251567562491,47.318381916393925,8.62309612148896,50.17170625330114,10.867084124446178,25.205049997575,25.555049997575,25.8,27.35,40.855049997575,42.8,23.4,30.823753195439437
64.0,42.0477306622188,10.716373731540951,37.26032593246156,7.670765348977698,37.601470744794895,13.018069827398486,38.40370588143582,12.20444904126086,44.63783981837943,11.939652484650386,47.42602438143069,8.596118814757286,50.30196199255892,10.979232475576026,25.25,25.594950002425,25.8,27.35,40.905049997575,42.81009999515,23.4,30.83434966150389
66.0,42.15703763578796,10.90611996566632,37.319059026768315,7.718598752292116,37.70207963517302,12.909241663748476,38.5133190927666,12.270208396013553,44.76079949462645,11.815760565895555,47.52518608623479,8.646765645045084,50.43546596554267,10.93840476989292,25.25,25.555049997575,25.8,27.35,40.955049997575,42.91009999515,23.4,30.844946127568345
68.0,42.141575877623005,10.795561395158597,37.3788761613069,7.711049533445234,37.79047729597798,13.121906386650284,38.620288018318696,12.260546572967382,44.87836952777186,11.83200149810242,47.61866049268304,8.652907306822,50.55962305301793,10.915695355746816,25.255049997575,25.6,25.805049997575,27.35,41.015149992725,43.01009999515,23.4,30.855542593632798
70.0,42.31138865206304,10.58802148289331,37.43901639950926,7.682025360059403,37.88440634289169,12.944249867388242,38.72408480427688,12.264058996329975,44.992687620552424,11.906823240315967,47.71408567917715,8.679314357785655,50.68911908597676,10.928795868132845,25.294950002425,25.6,25.85,27.35,41.16009999515,43.11009999515,23.4,30.86613905969725
72.0,42.25645758561999,10.876826424598876,37.49672446549144,7.667500514060884,37.9784464715147,13.052468132680833,38.82715819824543,12.256137058550587,45.105634740293,11.870739862857803,47.81018298052462,8.637059461656346,50.81072903759513,10.917842087686086,25.25,25.6,25.85,27.35,41.255049997575,43.21009999515,23.4,30.876735525761703
74.0,42.32718516587656,10.757355011000575,37.549209798392134,7.704839501702364,38.06569176846199,13.06856906630371,38.92218332520937,12.271198757746362,45.21215143728853,11.876793182337044,47.89918085955319,8.681925425036308,50.92677590476627,10.97785433404731,25.25,25.605049997575,25.855049997575,27.35,41.305049997575,43.31009999515,23.4,30.88733199182616
76.0,42.43309637736725,10.821294668798377,37.60565266660874,7.763655732151385,38.156215015181886,13.00903482053054,39.01275533627698,12.279812638043872,45.32415462844881,11.883200051555615,47.989814649034855,8.74251980623406,51.04263277537871,10.989127514947192,25.25,25.65,25.9,27.35,41.355049997575,43.405049997575,23.4,30.89792845789061
78.0,42.46104434855468,10.93317035076449,37.65704992128786,7.683830933135579,38.24001789659461,12.958535676176236,39.08650751558027,12.21556622478029,45.433498266310906,11.816769904105987,48.093108411688895,8.652273298555496,51.161844548963956,11.00668961818926,25.25,25.65,25.9,27.35,41.405049997575,43.46009999515,23.4,30.908524923955063
80.0,42.56754950417477,10.909917193188022,37.7161525873504,7.655989398195099,38.329389032854934,12.975450264670084,39.17457692148674,12.273850756156126,45.53863321311824,11.87531548005232,48.17912351467918,8.623487665023273,51.26977175169609,10.904775726243129,25.255049997575,25.655049997575,25.905049997575,27.35,41.465149992725,43.56009999515,23.4,30.919121390019516
82.0,42.59375926851893,10.847981224392138,37.76469917114033,7.70444610111748,38.40247684110736,13.071924338906408,39.2428164708227,12.284738594987797,45.62855562240743,11.886870904066232,48.25927481240717,8.73518542047648,51.377152260543006,10.934998569260696,25.305049997575,25.7,25.955049997575,27.355049997575,41.615149992725,43.66009999515,23.405049997575,30.929717856083972
84.0,42.814246071783366,10.751179593983942,37.826163261821605,7.710404198363913,38.46554427398861,13.031445739357892,39.3077511263202,12.26041740189896,45.736739345727365,11.929720598075546,48.33993411911711,8.700770135671227,51.47590653707621,10.950576394750636,25.35,25.7,26.0,27.4,41.755049997575,43.76009999515,23.45,30.940314322148424
86.0,42.74887692062602,10.74044930471764,37.884869306252774,7.715178313007667,38.5231940671479,13.011977179697004,39.36193806139248,12.281490306814309,45.83413766522784,11.901782741296476,48.42390395702373,8.66665842875788,51.57911214016067,10.941608085458464,25.35,25.7,26.0,27.405049997575,41.81009999515,43.855049997575,23.45,30.950910788212877
88.0,42.90719960953427,10.84508869098819,37.947507403471825,7.679656591130027,38.59828387781423,13.06296317017924,39.424907007487384,12.24995896822076,45.93214231088388,11.880756169297722,48.502071360716606,8.598343262577984,51.6732540375132,10.933403029994237,25.35,25.705049997575,26.0,27.45,41.905049997575,43.905049997575,23.45,30.96150725427733
90.0,43.02167532064576,10.748110542546168,38.012784715000635,7.704607887587436,38.6599472490364,13.037840903448538,39.47215218480716,12.276128822358285,46.02678125634717,11.865729838936115,48.58839044251399,8.679758033357642,51.766629578427946,10.93062012385133,25.35,25.75,26.0,27.455049997575,41.955049997575,43.955049997575,23.45,30.972103720341785
92.0,43.021030161096114,10.783248493660956,38.0739157461346,7.691971681971712,38.72808280839648,13.060349002024749,39.53252283296866,12.214626738435497,46.12373717675021,11.764457583064315,48.66651820118527,8.66414802907748,51.86096008669547,10.998223093624468,25.35,25.755049997575,26.005049997575,27.505049997575,42.01009999515,44.01009999515,23.455049997575,30.982700186406237
94.0,43.14491178267532,10.887166545408956,38.139150976336,7.754208797572177,38.80130085269932,13.089104168519585,39.58929807676002,12.263745998343955,46.221109318769784,11.89496525934432,48.75129823714996,8.640820462333311,51.95857081184183,10.933478355235158,25.355049997575,25.805049997575,26.055049997575,27.55,42.105049997575,44.105049997575,23.5,30.99329665247069
96.0,43.08695693754704,10.77970934449688,38.20149654917353,7.724996091962266,38.875138299220026,13.054253858664849,39.64407067967224,12.24376881270552,46.31672702328,11.935138093381603,48.82787341075142,8.585210003671811,52.05304999226261,10.985911633918134,25.4,25.855049997575,26.1,27.55,42.155049997575,44.16009999515,23.5,31.003893118535142
